abak	áː b a k
vila	ʋ íː l a
vile	ʋ ìː l ɛ
vilice	ʋ ìː l i t͡s ɛ
vino	ʋ ìː n ɔ
vinograd	ʋ i n òː ɡ r a t
violina	ʋ i j ɔ l íː n a
violončelo	ʋ i j ɔ l ɔ n t͡ʃ éː l ɔ
vir	ʋ íː r
visok	ʋ i s ɔ́ k
vitez	ʋ íː t ɛ s
viti	ʋ ìː t i
viti	ʋ íː t i
vizum	v iː z ʊ m
višji	ʋ íː ʃ j i
višnu	ʋ íː ʃ n u
vključiti	ʋ k l j ùː t͡ʃ i t i
vklopiti	ʋ k l òː p i t i
vklopiti	ʋ k l ɔ p ìː t i
vklopiti	ʋ k l ɔ p íː t i
vlada	ʋ l áː d a
vladati	ʋ l àː d a t i
vladati	ʋ l áː d a t i
vladavina	ʋ l a d a ʋ ìː n a
vlak	ʋ l áː k
vleči	ʋ l èː t͡ʃ i
vljudnost	ʋ l j ùː d n ɔ s t
vltava	ʋ ə́ l t a ʋ a
vnuk	ʋ n ùː k
vnuk	ʋ n úː k
vnukinja	ʋ n ùː k i n j a
vnukinja	ʋ n úː k i n j a
voda	ʋ ɔ̀ː d a
vodik	ʋ ɔ d íː k
voditi	ʋ ɔ d ìː t i
voditi	ʋ ɔ d íː t i
vodič	ʋ ɔ d í t͡ʃ
vodja	ʋ óː d j a
vodnar	ʋ ɔ d n àː r
vodnica	ʋ óː d n i t͡s a
vodnjak	ʋ ɔ d n j àː k
vodomec	ʋ ɔ d òː m ə t͡s
vodomec	ʋ ɔ d óː m ə t͡s
vogal	ʋ ɔ ɡ áː ʋ
vohun	ʋ ɔ x úː n
vohunski	ʋ ɔ x úː n s k i
vojak	ʋ ɔ j àː k
vojakinja	ʋ ɔ j àː k i n j a
vojna	ʋ ɔ̀ː j n a
vojska	ʋ ɔ̀ː j s k a
vojvoda	ʋ óː j ʋ ɔ d a
vojvodina	ʋ óː j ʋ ɔ d i n a
vojščak	ʋ ɔ j ʃ t͡ʃ àː k
vol	ʋ ɔ́ ʋ
volan	ʋ ɔ l áː n
volfram	ʋ óː l f r a m
volga	ʋ ɔ̀ː ʋ ɡ a
volja	ʋ òː l j a
volk	ʋ ɔ́ː ʋ k
volkodlak	ʋ ɔ ʋ k ɔ d l áː k
volna	ʋ ɔ̀ː ʋ n a
voluhar	ʋ ɔ l úː x a r
vosek	ʋ óː s ə k
vovk	ʋ ɔ́ː ʋ k
voz	ʋ óː s
vozel	ʋ ɔ̀ː z ə ʋ
voziti	ʋ ɔ z ìː t i
voziti	ʋ ɔ z íː t i
voščilo	ʋ ɔ ʃ t͡ʃ ìː l ɔ
voščiti	ʋ òː ʃ t͡ʃ i t i
voščiti	ʋ ɔ ʃ t͡ʃ ìː t i
voščiti	ʋ ɔ ʃ t͡ʃ íː t i
vožnja	ʋ ɔ̀ː ʒ n j a
vpiti	ʋ p ìː t i
vpliv	ʋ p l íː ʋ
vprašaj	ʋ p r a ʃ áː j
vprašanje	ʋ p r a ʃ áː n j ɛ
vprašati	ʋ p r a ʃ àː t i
vprašati	ʋ p r àː ʃ a t i
vrabec	ʋ r àː b ə t͡s
vran	ʋ r áː n
vrana	ʋ r àː n a
vranica	ʋ r àː n i t͡s a
vrat	ʋ r áː t
vrata	ʋ r àː t a
vratič	ʋ r a t í t͡ʃ
vraža	ʋ r àː ʒ a
vrba	ʋ ə̀ r b a
vrednost	ʋ r èː d n ɔ s t
vreme	ʋ r ɛ̀ː m ɛ
vretence	ʋ r ɛ t ɛ̀ː n t͡s ɛ
vreti	ʋ r èː t i
vreči	ʋ r èː t͡ʃ i
vroč	ʋ r óː t͡ʃ
vroč	ʋ r ɔ́ t͡ʃ
vrst	ʋ ə́ r s t
vrsta	ʋ ə̀ r s t a
vrsten	ʋ ə́ r s t ə n
vrstilen	ʋ ə r s t íː l ə n
vrstnost	ʋ ə́ r s t n ɔ s t
vrt	ʋ ə́ r t
vrtnica	ʋ ə́ r t n i t͡s a
vrč	ʋ ə́ r t͡ʃ
vrša	ʋ ə̀ r ʃ a
vršilec	ʋ ə r ʃ íː l ə t͡s
vsaj	ʋ s áː j
vsebina	ʋ s ɛ b ìː n a
vsejedec	ʋ s ɛ j éː d ə t͡s
vstaviti	ʋ s t àː ʋ i t i
vstopati	ʋ s t òː p a t i
vstopati	ʋ s t óː p a t i
vstopiti	ʋ s t òː p i t i
vstopiti	ʋ s t ɔ p ìː t i
vstopiti	ʋ s t ɔ p íː t i
vtis	ʋ t íː s
vulkan	ʋ u l k áː n
vurnik	ʋ úː r n i k
vzeti	ʋ z èː t i
vzhod	ʋ z x ɔ́ t
vzhoden	ʋ z x óː d ə n
vzhodnejši	ʋ z x óː d n ɛ j ʃ i
vzpon	ʋ s p ɔ́ n
včasih	ʋ t͡ʃ áː s i x
včeraj	ʋ t͡ʃ èː r a j
včlaniti	ʋ t͡ʃ l àː n i t i
včlaniti	ʋ t͡ʃ l áː n i t i
všeč	ʋ ʃ éː t͡ʃ
všečen	ʋ ʃ èː t͡ʃ ə n
všečnost	ʋ ʃ èː t͡ʃ n ɔ s t
vžigalica	ʋ ʒ i ɡ áː l i t͡s a
wikipedija	ʋ i k i p ɛ d íː j a
wikislovar	ʋ i k i s l ɔ ʋ àː r
z	s
za	z a
zabava	z a b áː ʋ a
zabavnik	z a b áː ʋ n i k
zadnji	z áː d n j i
zadnjica	z áː d n j i t͡s a
zadnjik	z áː d n j i k
zadnjičen	z áː d n j i t͡ʃ ə n
zadovoljevati	z a d ɔ ʋ ɔ l j ɛ ʋ àː t i
zadovoljiti	z a d ɔ ʋ ɔ l j ìː t i
zadovoljiti	z a d ɔ ʋ ɔ l j íː t i
zagnati	z a ɡ n àː t i
zahod	z a x ɔ́ t
zahoden	z a x óː d ə n
zahodnejši	z a x óː d n ɛ j ʃ i
zahteva	z a x t éː ʋ a
zaimek	z a íː m ə k
zaiti	z a ìː t i
zajec	z áː j ə t͡s
zajtrk	z àː j t ə r k
zajtrk	z áː j t ə r k
zajtrkovati	z a j t ə r k ɔ ʋ àː t i
zakaj	z a k àː j
zakaj	z a k áː j
zaklad	z a k l á t
zakleniti	z a k l ɛ n ìː t i
zakleniti	z a k l ɛ n íː t i
zakon	z àː k ɔ n
zakristija	z a k r i s t íː j a
zalar	z áː l a r
zaliv	z a l íː ʋ
zaljubiti	z a l j u b ìː t i
zaljubiti	z a l j u b íː t i
zaljubiti	z a l j ùː b i t i
zaljubiti	z a l j úː b i t i
zaman	z a m á n
zambija	z àː m b i j a
zamuditi	z a m u d ìː t i
zamuditi	z a m u d íː t i
zanimiv	z a n i m ìː ʋ
zanimiv	z a n i m íː ʋ
zanimivejši	z a n i m ìː ʋ ɛ j ʃ i
zapestje	z a p éː s t j ɛ
zapor	z a p ɔ́ r
zapornica	z a p óː r n i t͡s a
zapornik	z a p óː r n i k
zapreti	z a p r èː t i
zapustiti	z a p u s t ìː t i
zapustiti	z a p u s t íː t i
zarnik	z áː r n i k
zaseben	z a s éː b ə n
zaspan	z a s p àː n
zaspati	z a s p àː t i
zastava	z a s t áː ʋ a
zastavnica	z a s t áː ʋ n i t͡s a
zavesa	z a ʋ éː s a
zavreti	z a ʋ r èː t i
začetek	z a t͡ʃ éː t ə k
začeten	z a t͡ʃ éː t ə n
začeti	z a t͡ʃ èː t i
zaščita	z a ʃ t͡ʃ íː t a
zažgati	z a ʒ ɡ àː t i
zbežati	z b ɛ ʒ àː t i
zbirati	z b ìː r a t i
zbirati	z b íː r a t i
zbirka	z b íː r k a
zbrati	z b r àː t i
zdaj	z d á j
zdolgočasen	z d ɔ ʋ ɡ ɔ t͡ʃ áː s ɛ n
zdrav	z d r á ʋ
zdravica	z d r a ʋ ìː t͡s a
zdravilo	z d r a ʋ ìː l ɔ
zdravje	z d r áː ʋ j ɛ
zdravljica	z d r a ʋ l j ìː t͡s a
zdravnik	z d r a ʋ n ìː k
zdravo	z d r áː ʋ ɔ
zdravstvo	z d r áː ʋ s t ʋ ɔ
zebra	z èː b r a
zebra	z éː b r a
zebsti	z èː p s t i
zehati	z èː x a t i
zel	z éː ʋ
zel	z ə́ ʋ
zelen	z éː l ə n
zelen	z ɛ l ɛ́ n
zelena	z éː l ɛ n a
zelena	z ɛ́ː l ɛ n a
zelje	z èː l j ɛ
zelo	z ɛ l óː
zemlja	z ɛ̀ː m l j a
zemljepis	z ɛ m l j ɛ p íː s
zemljevid	z ɛ m l j ɛ ʋ íː t
zenica	z ɛ n ìː t͡s a
zet	z ɛ́ t
zgodaj	z ɡ óː d a j
zgodba	z ɡ óː d b a
zgodovina	z ɡ ɔ d ɔ ʋ ìː n a
zgodovinski	z ɡ ɔ d ɔ ʋ íː n s k i
zgoraj	z ɡ ɔ̀ː r a j
zgradba	z ɡ r áː d b a
zgrešiti	z ɡ r ɛ̀ː ʃ i t i
zibati	z i b àː t i
zibati	z ìː b a t i
zid	z íː t
zidati	z i d àː t i
zidati	z ìː d a t i
zima	z ìː m a
zjutraj	z j ùː t r a j
zlat	z l áː t
zlaten	z l a t èː n
zlaten	z l a t éː n
zlaten	z l àː t ə n
zlaten	z l áː t ə n
zlato	z l a t óː
zlemu	z l ɛ m ú
zlitina	z l ìː t i n a
zlitina	z l íː t i n a
zlo	z l ɔ́
zlog	z l ɔ́ k
zlomiti	z l ɔ m ìː t i
zlomiti	z l ɔ m íː t i
zlomljen	z l òː m l j ɛ n
zlonameren	z l ɔ n a m èː r ə n
zločin	z l ɔ t͡ʃ íː n
zmaga	z m áː ɡ a
zmagovalec	z m a ɡ ɔ ʋ áː l ə t͡s
zmaj	z m àː j
zmaj	z m á j
zmaj	z m áː j
zmeraj	z m éː r a j
znanje	z n áː n j ɛ
znanost	z n àː n ɔ s t
znanstven	z n áː n s t ʋ ɛ n
znati	z n àː t i
značilen	z n a t͡ʃ íː l ə n
značilnejši	z n a t͡ʃ íː l n ɛ j ʃ i
znoj	z n óː j
znoj	z n ɔ́ j
znotraj	z n òː t r a j
zob	z óː p
zober	z òː b ə r
zobozdravnik	z ɔ b ɔ z d r a ʋ n ìː k
zobozdravstvo	z ɔ b ɔ z d r áː ʋ s t ʋ ɔ
zona	t͡s óː n a
zona	z óː n a
zora	z óː r a
zora	z ɔ̀ː r a
zoreti	z ɔ r èː t i
zrak	z r á k
zrel	z r éː ʋ
zrel	z r ɛ́ ʋ
zrelejši	z r èː l ɛ j ʃ i
zrelejši	z r ɛ l ɛ́ː j ʃ i
zrklo	z ə̀ r k l ɔ
zssr	z ə s ə s ə r ə́
zunaj	z ùː n a j
zupan	z úː p a n
zupanc	z úː p a n t͡s
zvati	z ʋ àː t i
zver	z ʋ éː r
zverina	z ʋ ɛ r ìː n a
zvezda	z ʋ èː z d a
zvezek	z ʋ éː z ə k
zvečer	z ʋ ɛ t͡ʃ éː r
zvitek	z ʋ íː t ə k
zvok	z ʋ óː k
zvon	z ʋ óː n
zvonar	z ʋ ɔ n àː r
zvone	z ʋ óː n ɛ
zvonec	z ʋ ɔ̀ː n ə t͡s
č	t͡ʃ
čad	t͡ʃ áː t
čaj	t͡ʃ áː j
čakati	t͡ʃ àː k a t i
čao	t͡ʃ áː ɔ
čaplja	t͡ʃ áː p l j a
čarovnica	t͡ʃ a r ɔ́ː ʋ n i t͡s a
čarovnik	t͡ʃ a r ɔ́ː ʋ n i k
čas	t͡ʃ á s
časnik	t͡ʃ áː s n i k
časopis	t͡ʃ a s ɔ p íː s
čast	t͡ʃ áː s t
čaša	t͡ʃ àː ʃ a
če	t͡ʃ ɛ
čebela	t͡ʃ ə b éː l a
čebela	t͡ʃ ɛ b éː l a
čebula	t͡ʃ ə b ùː l a
čebula	t͡ʃ ɛ b ùː l a
čefur	t͡ʃ ɛ f ùː r
čeh	t͡ʃ éː x
čehinja	t͡ʃ éː x i n j a
ček	t͡ʃ éː k
čelo	t͡ʃ éː l ɔ
čelo	t͡ʃ ɛ̀ː l ɔ
čemaž	t͡ʃ èː m a ʃ
čemaž	t͡ʃ ɛ m áː ʃ
čembalo	t͡ʃ éː m b a l ɔ
čeprav	t͡ʃ ɛ p r á ʋ
česen	t͡ʃ ɛ̀ː s ə n
česmina	t͡ʃ ɛ s m ìː n a
četrtek	t͡ʃ ɛ t ə̀ r t ə k
četrtinka	t͡ʃ ɛ t ə r t íː n k a
čevelj	t͡ʃ éː ʋ ə l
čevljekljun	t͡ʃ éː ʋ l j ɛ k l j úː n
češka	t͡ʃ éː ʃ k a
češki	t͡ʃ éː ʃ k i
češko	t͡ʃ éː ʃ k ɔ
češkoslovaška	t͡ʃ éː ʃ k ɔ s l ɔ ʋ áː ʃ k a
češnja	t͡ʃ éː ʃ n j a
češplja	t͡ʃ éː ʃ p l j a
češčina	t͡ʃ éː ʃ t͡ʃ i n a
čifut	t͡ʃ ìː f u t
čigar	t͡ʃ íː ɡ a r
čigav	t͡ʃ i ɡ àː ʋ
čile	t͡ʃ íː l ɛ
čipka	t͡ʃ íː p k a
čist	t͡ʃ íː s t
čistiti	t͡ʃ ìː s t i t i
čistota	t͡ʃ i s t ɔ̀ː t a
čitati	t͡ʃ ìː t a t i
čitati	t͡ʃ íː t a t i
čivava	t͡ʃ i ʋ áː ʋ a
član	t͡ʃ l áː n
članek	t͡ʃ l áː n ə k
človek	t͡ʃ l ɔ̀ː ʋ ɛ k
človeški	t͡ʃ l ɔ ʋ èː ʃ k i
čmrlj	t͡ʃ m ə̀ r l
čokolada	t͡ʃ ɔ k ɔ l áː d a
čoln	t͡ʃ ɔ́ː ʋ n
čopič	t͡ʃ óː p i t͡ʃ
čopič	t͡ʃ ɔ́ː p i t͡ʃ
črevce	t͡ʃ r èː ʋ t͡s ɛ
črevo	t͡ʃ r ɛ ʋ óː
čriček	t͡ʃ r íː t͡ʃ ə k
črka	t͡ʃ ə̀ r k a
črkovati	t͡ʃ ə r k ɔ ʋ àː t i
črn	t͡ʃ ə̀ r n
črnilo	t͡ʃ ə r n ìː l ɔ
črnogorski	t͡ʃ ə r n ɔ ɡ óː r s k i
črv	t͡ʃ ə́ r ʋ
čustven	t͡ʃ úː s t ʋ ə n
čustvo	t͡ʃ úː s t ʋ ɔ
čut	t͡ʃ úː t
čuti	t͡ʃ ùː t i
čutiti	t͡ʃ u t ìː t i
čutiti	t͡ʃ u t íː t i
čutiti	t͡ʃ ùː t i t i
šah	ʃ áː x
šahovnica	ʃ a x ɔ́ː ʋ n i t͡s a
šakal	ʃ a k áː l
šal	ʃ áː l
šank	ʃ áː n k
šantati	ʃ a n t àː t i
šarenica	ʃ a r ɛ n ìː t͡s a
šarenica	ʃ áː r ɛ n i t͡s a
še	ʃ ɛ
še	ʃ ɛ́
šest	ʃ éː s t
šestdeset	ʃ éː z d d ɛ s ɛ t
šesti	ʃ ɛ̀ː s t i
šestnajst	ʃ éː s t n a j s t
šestnajst	ʃ ɛ s t n àː j s t
šiliti	ʃ ìː l i t i
šilček	ʃ íː l t͡ʃ ə k
šimpanz	ʃ i m p áː n s
širok	ʃ i r ɔ́ k
šiti	ʃ ìː t i
škarje	ʃ k áː r j ɛ
škatla	ʃ k áː t l a
škof	ʃ k ɔ́ f
škorec	ʃ k ɔ̀ː r ə t͡s
škorenj	ʃ k óː r ə n
škorpijon	ʃ k ɔ r p i j óː n
škotska	ʃ k óː t s k a
škripec	ʃ k r ìː p ə t͡s
škripec	ʃ k r íː p ə t͡s
škrjanec	ʃ k ə r j àː n ə t͡s
škržat	ʃ k ə r ʒ áː t
šoja	ʃ òː j a
šola	ʃ óː l a
španec	ʃ p áː n ə t͡s
španija	ʃ p àː n i j a
španka	ʃ p áː n k a
španski	ʃ p áː n s k i
špansko	ʃ p áː n s k ɔ
španščina	ʃ p áː n ʃ t͡ʃ i n a
špirit	ʃ p íː r i t
štacun	ʃ t a t͡s ùː n
štala	ʃ t àː l a
šteti	ʃ t èː t i
število	ʃ t ɛ ʋ ìː l ɔ
števnik	ʃ t éː ʋ n i k
štiri	ʃ t ìː r i
štirideset	ʃ t íː r i d ɛ s ɛ t
štirinajst	ʃ t i r i n àː j s t
štirinajst	ʃ t íː r i n a j s t
štirje	ʃ t ìː r j ɛ
štor	ʃ t óː r
štor	ʃ t ɔ́ r
štorklja	ʃ t óː r k l j a
študent	ʃ t u d ɛ́ n t
študirati	ʃ t u d íː r a t i
šum	ʃ úː m
šunka	ʃ úː n k a
šved	ʃ ʋ éː t
švedinja	ʃ ʋ éː d i n j a
švedska	ʃ ʋ éː t s k a
švedski	ʃ ʋ éː t s k i
švedsko	ʃ ʋ éː t s k ɔ
švedščina	ʃ ʋ éː t ʃ t͡ʃ i n a
švica	ʃ ʋ íː t͡s a
švicarski	ʃ ʋ íː t͡s a r s k i
ščegetavček	ʃ t͡ʃ ɛ ɡ ɛ t áː ʋ t͡ʃ ə k
ščet	ʃ t͡ʃ éː t
ščinkavec	ʃ t͡ʃ ìː n k a ʋ ə t͡s
ščir	ʃ t͡ʃ íː r
ščit	ʃ t͡ʃ íː t
ščuka	ʃ t͡ʃ ùː k a
ščurek	ʃ t͡ʃ ùː r ə k
ž	ʒ
žaba	ʒ àː b a
žafran	ʒ a f r áː n
žaga	ʒ áː ɡ a
žagati	ʒ áː ɡ a t i
žalost	ʒ àː l ɔ s t
žamet	ʒ àː m ɛ t
žara	ʒ àː r a
žarek	ʒ àː r ə k
žarek	ʒ áː r ə k
ždeti	ʒ d èː t i
že	ʒ éː
že	ʒ ɛ
že	ʒ ɛ́
žebelj	ʒ ɛ b ə́ l
žebelj	ʒ ɛ̀ː b ə l
želeti	ʒ ɛ l èː t i
železo	ʒ ɛ l èː z ɔ
želja	ʒ ɛ̀ː l j a
želod	ʒ ɛ̀ː l òː t
želodec	ʒ ɛ l óː d ə t͡s
želva	ʒ èː l ʋ a
žena	ʒ ɛ̀ː n a
ženska	ʒ èː n s k a
ženski	ʒ èː n s k i
žep	ʒ ɛ́ p
žepar	ʒ ɛ́ː p a r
žerjav	ʒ ɛ r j á ʋ
žetev	ʒ éː t ə ʋ
žeti	ʒ èː t i
žgati	ʒ ɡ àː t i
žica	ʒ ìː t͡s a
žila	ʒ ìː l a
žirafa	ʒ i r áː f a
žiti	ʒ ìː t i
živ	ʒ íː ʋ
živahen	ʒ i ʋ àː x ə n
živahnejši	ʒ i ʋ àː x n ɛ j ʃ i
žival	ʒ i ʋ áː ʋ
živeti	ʒ i ʋ èː t i
življenje	ʒ i ʋ l j ɛ̀ː n j ɛ
žleza	ʒ l èː z a
žoga	ʒ òː ɡ a
žoga	ʒ óː ɡ a
žolna	ʒ ɔ̀ː ʋ n a
žolt	ʒ ɔ́ː ʋ t
žolč	ʒ ɔ́ː ʋ t͡ʃ
žolčnik	ʒ ɔ́ː ʋ t͡ʃ n i k
žrebe	ʒ r ɛ b ɛ́
žrebec	ʒ r èː b ə t͡s
žrebica	ʒ r ɛ b ìː t͡s a
žreti	ʒ r èː t i
žrtvovati	ʒ ə r t ʋ ɔ ʋ àː t i
žuželka	ʒ u ʒ éː l k a
žveplo	ʒ ʋ ɛ̀ː p l ɔ
žvečiti	ʒ ʋ èː t͡ʃ i t i
